,Squad,Comp,Player,Pos,Age,MP,Starts_Playing_Time,Min_Playing_Time,Mins_Per_90_Playing_Time,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per_Minutes,Ast_Per_Minutes,G+A_Per_Minutes,G_minus_PK_Per_Minutes,G+A_minus_PK_Per_Minutes,MP_Playing_Time
0,2022 Ecuador,WCQ — CONMEBOL M,Pervis Estupiñán,"DF,MF",24.0,17.0,17,1513.0,16.8,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.12,0.06,0.18,0.12,0.18,
1,2022 Ecuador,WCQ — CONMEBOL M,Carlos Gruezo,MF,26.0,16.0,16,1395.0,15.5,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.06,0.0,0.06,0.0,0.0,
2,2022 Ecuador,WCQ — CONMEBOL M,Moisés Caicedo,MF,20.0,15.0,15,1305.0,14.5,2.0,4.0,2.0,0.0,0.0,5.0,0.0,0.14,0.28,0.41,0.14,0.41,
3,2022 Ecuador,WCQ — CONMEBOL M,Ángel Mena,"MF,FW",34.0,15.0,13,1079.0,12.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.17,0.25,0.42,0.17,0.42,
4,2022 Ecuador,WCQ — CONMEBOL M,Michael Estrada,FW,25.0,17.0,11,1043.0,11.6,6.0,2.0,6.0,0.0,0.0,2.0,0.0,0.52,0.17,0.69,0.52,0.69,
5,2022 Ecuador,WCQ — CONMEBOL M,Piero Hincapié,DF,20.0,11.0,11,990.0,11.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09,0.0,0.09,0.09,0.09,
6,2022 Ecuador,WCQ — CONMEBOL M,Félix Torres Caicedo,DF,25.0,11.0,11,990.0,11.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.18,0.0,0.18,0.18,0.18,
7,2022 Ecuador,WCQ — CONMEBOL M,Alexander Domínguez,GK,34.0,10.0,10,824.0,9.2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,
8,2022 Ecuador,WCQ — CONMEBOL M,Enner Valencia,"FW,MF",32.0,12.0,10,758.0,8.4,4.0,1.0,3.0,1.0,2.0,5.0,0.0,0.47,0.12,0.59,0.36,0.47,
9,2022 Ecuador,WCQ — CONMEBOL M,Ángelo Preciado,"DF,MF",23.0,13.0,8,755.0,8.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,2022 Ecuador,WCQ — CONMEBOL M,Robert Arboleda,DF,30.0,10.0,8,718.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13,0.13,0.25,0.13,0.25,
